"name","iata_code","country_code"
"Madison County Airport","UYF","US"
"Le Mars Municipal Airport","LRJ","US"
"Ahmosuo",NA,"FI"
"Cameron Memorial Airport","EZZ","US"
"Lawrence County Airpark","HTW","US"
"Van Wert County Airport","VNW","US"
"Stralsund Barth Airport","BBH","DE"
"Nowy Targ",NA,"PL"
"Schwenningen am Neckar Airport",NA,"DE"
"Achinsk Airport","ACS","RU"
"Daviess County Airport","DCY","US"
"Defiance Memorial Airport","DFI","US"
"Crookston Municipal Airport-Kirkwood Field","CKN","US"
"Frank Wiley Field","MLS","US"
"Oroville Municipal Airport","OVE","US"
"San Carlos Apache Airport","GLB","US"
"Darke County Airport","VES","US"
"Heide-Buesum Airport","HEI","DE"
"Henry County Airport","PHT","US"
"Kauhajoki Airport","KHJ","FI"
"Linfen Qiaoli Airport","LFQ","CN"
"Lizard Island Airport","LZR","AU"
"Bellefontaine Regional Airport","EDJ","US"
"Cold Bay Airport","CDB","US"
"Westover Air Reserve Base / Metropolitan Airport","CEF","US"
"Cambridge Municipal Airport","CDI","US"
"Grimsey Airport","GRY","IS"
"Chi Mei Airport","CMJ","TW"
"St. Landry Parish Airport","OPL","US"
"White Waltham Airfield",NA,"GB"
"Beatrice Municipal Airport","BIE","US"
"Langlade County Airport","AIG","US"
"Aviosuperficie Caiolo Sondrio",NA,"IT"
"Adak Airport","ADK","US"
"Papa Westray Airport","PPW","GB"
"Lakefield Airport","CQA","US"
"Biberach a.d. Riß Airfield",NA,"DE"
"Delaware County Regional Airport","MIE","US"
"Piikajarvi",NA,"FI"
"Broken Bow Municipal Airport","BBW","US"
"Hyderabad Airport","HDD","PK"
"Malden Regional Airport","MAW","US"
"Putnam County Airport","OWX","US"
"Modesto City-County Airport","MOD","US"
"Pike County Airport","EOP","US"
"Qaqortoq Heliport","JJU","GL"
"Wang-an Airport","WOT","TW"
"Baise Bama Airport","AEB","CN"
"Bowman Regional Airport","BWM","US"
"Highland County Airport","HOC","US"
"Guyuan Liupanshan Airport","GYU","CN"
"Lowcountry Regional Airport","RBW","US"
"Saint Helena Airport","HLE","SH"
"Caledonia County Airport","LLX","US"
"Kaufana Airport","EUA","TO"
"Liupanshui Yuezhao Airport","LPF","CN"
"Brevig Mission Airport","KTS","US"
"Kuhmo",NA,"FI"
"Artigas International Airport","ATI","UY"
"Paamiut Airport","JFR","GL"
"Rantasalmi",NA,"FI"
"Shashi Airport","SHS","CN"
"Tomas de Heres Airport","CBL","VE"
"Aerorescate Heliport",NA,"CL"
"Aerorural Floramazon Airport",NA,"BR"
"Aerosanta Cruz Airport",NA,"CL"
"Tortuguero Airport","TTQ","CR"
"Aficel Heliport",NA,"BR"
"Afipsky Heliport",NA,"RU"
"Afobakka Airstrip",NA,"SR"
"Afogados da Ingazeira",NA,"BR"
"Afore Airport","AFR","PG"
"Afrânio Airport",NA,"BR"
"Afton Municipal Airport","AFO","US"
"Afutara Aerodrome","AFT","SB"
"Afyon Airport","AFY","TR"
"Agartala Airport","IXA","IN"
"Agats Airport",NA,"ID"
"Agatti Airport","AGX","IN"
"Agaun Airport","AUP","PG"
"Agen-la-Garenne","AGF","FR"
"Aggeneys Airport","AGZ","ZA"
"Aghajari Airport","AKW","IR"
"Agnes Water Airport",NA,"AU"
"Agnew Airport","AGW","AU"
"Agordat Airport",NA,"ER"
"Agostinho Neto Airport","NTO","CV"
"Agra Airport","AGR","IN"
"Agri Airport","AJI","TR"
"Agricenter Airport",NA,"BR"
"Aero Agrícola Cristalina Airport",NA,"BR"
"Aero Agrícola Fulanete Airport",NA,"BR"
"Aero Agrícola Gaivota Airport",NA,"BR"
"Agrícola Rio Galhão Airport",NA,"BR"
"Aero Agrícola Rondon Airport",NA,"BR"
"Agrifor Airport",NA,"BR"
"Agrishow Airport",NA,"BR"
"Agro Pousadas do Guaporé Airport",NA,"BR"
"Agrochapada Airport",NA,"BR"
"Agromanzún Airport",NA,"CL"
"Agromineral Mutum Airport",NA,"BR"
"Agropalma Airport",NA,"BR"
"Agropastoril Monte Alegre Airport",NA,"BR"
"Agropecuária Barrinha Airport",NA,"BR"
"Agropecuária Cajabi Airport",NA,"BR"
"Agropecuaria Castanhais Airport","ITI","BR"
"Agropecuária Céu Aberto Ltda Airport",NA,"BR"
"Agropecuária Equus Airport",NA,"BR"
"Agropecuária Ferreira Penço Ltda Airport",NA,"BR"
"Agropecuaria Gamma Airport",NA,"VE"
"Agropecuaria Los Araguaneyes Airport",NA,"VE"
"Agropecuária Mariana Airport",NA,"BR"
"Agropecuária Monte Alverne Airport",NA,"BR"
"Agropecuária Nova Santana Airport",NA,"BR"
"Agropecuária Paralelo Dez Ltda Airport",NA,"BR"
"Agropecuaria Piedra De Agua Azul Airport",NA,"HN"
"Agropecuaria Playa Caletas Airport",NA,"CR"
"Agropecuária Rio Da Prata Airport",NA,"BR"
"Agropecuaria San Francisco Airport",NA,"VE"
"Agropecuária Santa Paola Airport",NA,"BR"
"Agropecuária São Roberto Airport",NA,"BR"
"Agropecuária Vale do Guaporé Airport",NA,"BR"
"Agropesp Airport",NA,"BR"
"Agrorural Sol Nascente Airport",NA,"BR"
"Agrosan Airport",NA,"BR"
"Agrosserra Airport",NA,"BR"
"Agrovale Airport",NA,"BR"
"Água Branca Airport",NA,"BR"
"Agua Buena Airport",NA,"CL"
"Agua Caliente",NA,"HN"
"Agua Clara Airport",NA,"VE"
"Água Fria Airport",NA,"BR"
"Agua Linda Airport",NA,"VE"
"Água Mansa Heliport",NA,"BR"
"Agua Santa Airport",NA,"CL"
"Aguaclara Airport","ACL","CO"
"La Aguada Airport",NA,"CL"
"Agualeguas Airport",NA,"MX"
"Isla Guarello Airport",NA,"CL"
"Aguas Blancas Heliport",NA,"CL"
"Aguas Calientes Airport",NA,"PE"
"Águas Claras Aviação Agrícola Airport",NA,"BR"
"Aguas Claras Airport","OCV","CO"
"Águas Claras Heliport",NA,"BR"
"Águas Frias Airport",NA,"BR"
"Aguaytia Airport",NA,"PE"
"Águia Branca do Paru Airport",NA,"BR"
"Ahe Airport","AHE","PF"
"Ahmed Al Jaber Air Base","XIJ","KW"
"Ahrenlohe",NA,"DE"
"Ahrensfelde Heliport",NA,"DE"
"Ahuas Airport","AHS","HN"
"Ai Ais","AIW","NA"
"Aiambak Airport","AIH","PG"
"Aigen im Ennstal",NA,"AT"
"Flugplatz Ailertchen",NA,"DE"
"Ailinglaplap Airok Airport","AIC","MH"
"Ailuk Airfield","AIM","MH"
"Ouargla","OGX","DZ"
"Ain Oussera Airport",NA,"DZ"
"Ainhoa Airport",NA,"CL"
"Ainsworth Municipal Airport","ANW","US"
"Aiome Airport","AIE","PG"
"Aioun el Atrouss Airport","AEO","MR"
"Aiquile airfield",NA,"BO"
"Air Force Base Durban",NA,"ZA"
"Air Haco Heliport",NA,"BR"
"Air Operations Control Station Nieuw Milligen",NA,"NL"
"Aire-sur-Adour",NA,"FR"
"Airlake Airport",NA,"US"
"Aishalton Airport","AHL","GY"
"Aitape Airport","ATP","PG"
"Aitkin Municipal Airport",NA,"US"
"Aitutaki Airport","AIT","CK"
"Aiyura Airport","AYU","PG"
"AJ Eisenberg Airport","ODW","US"
"Ajarani Airport",NA,"BR"
"Ajdovscina Airport",NA,"SI"
"APT Pranoto Airport","AAP","ID"
"Ak Bashat Airport",NA,"KG"
"Akanu Ibiam International Airport","ENU","NG"
"Aketi Airport",NA,"CD"
"Akhiok Airport","AKK","US"
"Akhisar",NA,"TR"
"Akiachak Airport","KKI","US"
"Akiak Airport","AKI","US"
"Akieni Airport","AKE","GA"
"Akimuga",NA,"ID"
"Murted Tur-Afb",NA,"TR"
"Akita Airport","AXT","JP"
"Akjoujt","AJJ","MR"
"Akkem Heliport",NA,"RU"
"Aklavik/Freddie Carmichael Airport","LAK","CA"
"Akmenė Airport",NA,"LT"
"Akobo Airport",NA,"SS"
"Akola Airport","AKD","IN"
"Akpaka Airport",NA,"TG"
"Aksenovo Airport",NA,"RU"
"Akstafa Airport",NA,"AZ"
"Aksu Airport","AKU","CN"
"Aktanysh",NA,"RU"
"Akulivik Airport","AKV","CA"
"Akunnaaq Heliport","QCU","GL"
"Akure Airport","AKR","NG"
"Akutan Airport","KQA","US"
"Akwa Ibom International Airport","QUO","NG"
"Al Abraq International Airport","LAQ","LY"
"Al Ahsa Airport","HOF","SA"
"Wadi Ain Airport","WDA","YE"
"Al Asad Airbase","IQA","IQ"
"Al Badie Airport",NA,"YE"
"Al-Baha Domestic Airport","ABT","SA"
"Al Bayda Airport","BYD","YE"
"Albuq Airport","BUK","YE"
"Al Dhafra Air Base","DHF","AE"
"Al Ghaidah International Airport","AAY","YE"
"Al Hamra Aux Airport",NA,"AE"
"Al-Hazm Airport",NA,"YE"
"Al Jouf Domestic Airport","AJF","SA"
"Al Khor Airport",NA,"QA"
"Al Mahbes Airstrip Airport",NA,"EH"
"Ål Heliport, Medical Center",NA,"NO"
"Al Minhad Air Base","NHD","AE"
"Al Qaisumah/Hafr Al Batin Airport","AQI","SA"
"Al Sahra Army Air Field",NA,"IQ"
"Al Saqr Field Airport",NA,"AE"
"Al Taji",NA,"IQ"
"Al Fallujah","TQD","IQ"
"Al Thaurah","SOR","SY"
"Al Udeid Air Base","XJD","QA"
"Al Wajh Domestic Airport","EJH","SA"
"Alabat Island Airport",NA,"PH"
"Alakanuk Airport","AUK","US"
"Alalapadu Airstrip",NA,"SR"
"Alamicamba",NA,"NI"
"Alamogordo-White Sands Regional Airport","ALM","US"
"Alamos Airport","XAL","MX"
"Alao Airport",NA,"PE"
"Alapayevsk Airfield",NA,"RU"
"Alas Del Socorro Airport",NA,"HN"
"Alaşehir Airport",NA,"TR"
"Alavus",NA,"FI"
"Albany Airport","ALH","AU"
"Albergaria-a-Velha Heliport",NA,"PT"
"Alberni Valley Regional Airport","YPB","CA"
"Albert - Picardie Airport","BYF","FR"
"Albert Lea Municipal Airport","AEL","US"
"Alberto Bertelli Airport",NA,"BR"
"Alberto Carnevalli Airport","MRD","VE"
"Alberto Delgado Airport","TND","CU"
"Sogamoso Airport","SOX","CO"
"Puerto Saavedra Airport",NA,"CL"
"Albertus Airport","FEP","US"
"Albertville","XAV","FR"
"Albi-Le Sequestre","LBI","FR"
"Albilbah Airport",NA,"AU"
"Albina Airstrip","ABN","SR"
"Albion Downs Airport",NA,"AU"
"Albion Municipal Airport",NA,"US"
"Albrás Heliport",NA,"BR"
"Albury Base Hospital Helipad",NA,"AU"
"Albuskjell F Platform",NA,"NO"
"Albuskjell A Platform",NA,"NO"
"La Alcancía Airport",NA,"VE"
"Alcantarilla Air Base",NA,"ES"
"Alcides Fernandez Airport","ACD","CO"
"Alcoolvare Airport",NA,"BR"
"Alcoota Station Airport",NA,"AU"
"Aldan Airport","ADH","RU"
"Aldeia Baú Airport",NA,"BR"
"Aldeia do Vale Heliport",NA,"BR"
"Aldeia Kubenkroke Airport",NA,"BR"
"Aldeia Nacepoti Airport",NA,"BR"
"Aldeia Piaracu Airport",NA,"BR"
"Aldeia Pontal Airport",NA,"BR"
"Aldeia Pykany Airport",NA,"BR"
"Alderley Airport",NA,"AU"
"Alderney Airport","ACI","GG"
"Aldinga Airport",NA,"AU"
"Alegrete Novo Airport","ALQ","BR"
"Aleknagik /New Airport","WKK","US"
"Aleko-Kyuyol Airport",NA,"RU"
"Amincha Airport",NA,"CL"
"Alenquer Airport","ALT","BR"
"Aleppo International Airport","ALP","SY"
"Alert Bay Airport","YAL","CA"
"Alert Airport","YLT","CA"
"Alerta Airport","ALD","PE"
"Alessandria Airport",NA,"IT"
"Ålesund Heliport, Hospital",NA,"NO"
"Alexander Bay Airport","ALJ","ZA"
"Alexander Salamon Airport",NA,"US"
"Alexander Field South Wood County Airport","ISW","US"
"Alexandra","ALR","NZ"
"Alexandria Homestead Airport","AXL","AU"
"Alexandreia Airport",NA,"GR"
"Las Lomitas","LLS","AR"
"Alferez FAP Alfredo Vladimir Sara Bauer Airport","AOP","PE"
"Alfred Hospital Helipad",NA,"AU"
"Alfredton Airport",NA,"NZ"
"Álftaver Airport",NA,"IS"
"Algeciras Heliport","AEI","ES"
"Algés Heliport",NA,"PT"
"Algodonal",NA,"VE"
"Algona Municipal Airport","AXG","US"
"Alhama De Murcia Airport",NA,"ES"
"Ali Al Salem Airbase",NA,"KW"
"Ali-Sabieh Airport","AII","DJ"
"Nasiriyah Ali Air Base","XNH","IQ"
"Alice International Airport","ALI","US"
"Alice Maria Sampaio Ferreira Heliport",NA,"BR"
"Aligoodarz Airport",NA,"IR"
"Alimentos Dallas Airport",NA,"BR"
"Alindao Airport",NA,"CF"
"Alingsas",NA,"SE"
"Alitak Seaplane Base","ALZ","US"
"Aliwal North Airport",NA,"ZA"
"Alkantpan Copper Airport",NA,"ZA"
"Allah Valley Airport","AAV","PH"
"Allahabad Airport","IXD","IN"
"Allakaket Airport","AET","US"
"Allakh-Yun Airport",NA,"RU"
"Allambie Airport",NA,"AU"
"Allandy Airport",NA,"AU"
"Alldays Airport","ADY","ZA"
"Ålleberg Airport",NA,"SE"
"Allegheny County Airport","AGC","US"
"Allen Army Air Field","BIG","US"
"Allen C Perkinson Municipal Airport","BKT","US"
"Allen Parish Airport",NA,"US"
"Allendale County Airport",NA,"US"
"Allendorf Airport",NA,"DE"
"Alliance Municipal Airport","AIA","US"
"Ailigandi Airport","AIL","PA"
"Allstedt",NA,"DE"
"Alluitsup Paa Heliport","LLU","GL"
"Alma Airport","YTF","CA"
"Almada Hospital Heliport",NA,"PT"
"Almahue Airport",NA,"CL"
"Almansa",NA,"ES"
"Almaza Air Force Base",NA,"EG"
"Almeirim Airport","GGF","BR"
"Almirante Marcos A. Zar Airport","REL","AR"
"Almirante Padilla Airport","RCH","CO"
"Almirante Schroeders Airport",NA,"CL"
"Aloiso Ximenes de Farias Junior Heliport",NA,"BR"
"La Alondra Airport",NA,"HN"
"Along Airport","IXV","IN"
"Chitre Airport","CTD","PA"
"Alowe Airport","AWE","GA"
"Alpena County Regional Airport","APN","US"
"Alpha Airport","ABH","AU"
"Alpha Business Empresarial Helipad",NA,"BR"
"Alpha Airfield",NA,"BW"
"Alphacentro Helipad",NA,"BR"
"Alphonse Airport",NA,"SC"
"Alpine Airstrip","DQH","US"
"Alpine - Casparis Municipal Airport","ALE","US"
"Alpnach",NA,"CH"
"Alroy Downs Airport","AYD","AU"
"Altagracia Airport",NA,"CR"
"Altagracia de Orituco",NA,"VE"
"Altai Airport","LTI","MN"
"Altamira Airport",NA,"NI"
"Altamira de San Carlos Airport",NA,"CR"
"Altarejos-Guadalcanal Private Airfield",NA,"ES"
"Altay Airport","AAT","CN"
"Altdorf-Wallburg",NA,"DE"
"Altena-Hegenscheid",NA,"DE"
"Altenstadt Army Airfield",NA,"DE"
"Alpe d'Huez Airport","AHZ","FR"
"La Motte-Chalancon",NA,"FR"
"Peyresourde-Balestas",NA,"FR"
"Santiago Cerro Galan Airport",NA,"CL"
"Alto da Serra Heliport",NA,"BR"
"Alto Molocue Airport","AME","MZ"
"Alto Mucajaí Airport",NA,"BR"
"Alto Palena Airport","WAP","CL"
"Alto Paraiso de Goias",NA,"BR"
"Alto Parnaiba","APY","BR"
"Altomonte Airport",NA,"CR"
"Alton Downs","AWN","AU"
"Altoona-Blair County Airport","AOO","US"
"Alturas Municipal Airport",NA,"US"
"Altus Municipal Airport","AXS","US"
"Alula Airport","ALU","SO"
"Molina Alupenhue Airport",NA,"CL"
"Alva Regional Airport",NA,"US"
"Álvaro Gama Heliport",NA,"BR"
"Alverca Airport","AVR","PT"
"Alvsbyn",NA,"SE"
"Alxa Left Banner Airport","AXF","CN"
"Alxa Right Banner Airport","RHT","CN"
"Alytus",NA,"LT"
"Zintan Airport","ZIS","LY"
"Am Timan Airport","AMC","TD"
"Ama Airport","AMF","PG"
"Ama Heliport",NA,"BR"
"Amable Calle Gutierrez",NA,"EC"
"Amahai Airport","AHI","ID"
"Amal V12 Airport",NA,"LY"
"Amalfi Airport","AFI","CO"
"Amambaí Airport",NA,"BR"
"Amanab Airport","AMU","PG"
"Amani Gomvu Airport",NA,"TZ"
"Amapá Airport",NA,"BR"
"Amapala Airport",NA,"HN"
"Amarais Airport","CPQ","BR"
"Amari",NA,"EE"
"Amarras Heliport",NA,"BR"
"Merzifon","MZH","TR"
"Amata Airport","AMT","AU"
"Amazon Bay","AZB","PG"
"Amazonas Business Hotel Helipad",NA,"BR"
"Aéreo Amazônia Airport",NA,"BR"
"Ambala Air Force Station",NA,"IN"
"Ambalabe Airport","WAI","MG"
"Ambalavao",NA,"MG"
"Ambanja Airport","IVA","MG"
"Amabatolahy Airport","AHY","MG"
"Ambatomainty Airport","AMY","MG"
"Ambatondrazaka Airport","WAM","MG"
"Amberieu",NA,"FR"
"Ambert-Le Poyet",NA,"FR"
"Ambev - Filial Guarulhos Heliport",NA,"BR"
"Ambev Heliport",NA,"BR"
"Ambilobe Airport","AMB","MG"
"Ambler Airport","ABL","US"
"Ambohibary Airport","OHB","MG"
"Ambohijanahary",NA,"MG"
"Amboise-Dierre",NA,"FR"
"Amborovy Airport","MJN","MG"
"Amboseli Airport","ASV","KE"
"Ambri Airport",NA,"CH"
"Ambriz Airport","AZZ","AO"
"Ambrósio Airport",NA,"BR"
"Ambroso Heliport",NA,"BR"
"Ambunti Airport","AUJ","PG"
"Amburla Airport",NA,"AU"
"Amderma Airport","AMV","RU"
"Amedee Army Airfield","AHC","US"
"Ameland Heliport",NA,"NL"
"Ameland Airport",NA,"NL"
"Amendola",NA,"IT"
"La America",NA,"HN"
"Amery Municipal Airport","AHH","US"
"Ames Municipal Airport","AMW","US"
"Amgu Airport","AEM","RU"
"Amigdhaleon",NA,"GR"
"Aminuis Airstrip",NA,"NA"
"Amlikon",NA,"CH"
"Amman Civil Airport","ADJ","JO"
"Ammaroo Airport","AMX","AU"
"Ammassivik Heliport","QUW","GL"
"AMO Plant Heliport",NA,"LV"
"Amol Airport",NA,"IR"
"Amook Bay Seaplane Base","AOS","US"
"Amos/Magny Airport","YEY","CA"
"Ampampamena Airport","IVA","MG"
"Ampanihy Airport","AMP","MG"
"Ampara Airport","ADP","LK"
"Amparafaravola",NA,"MG"
"Ampfing-Waldkraiburg",NA,"DE"
"Amphiali Heliport",NA,"GR"
"Amphitheatre Airport",NA,"AU"
"Ampilatwatja Airport",NA,"AU"
"Ampuriabrava",NA,"ES"
"Amsterdam Heliport",NA,"NL"
"Amsterdam Airport",NA,"ZA"
"Amubri",NA,"CR"
"Anaa Airport","AAA","PF"
"Anaco Airport","AAO","VE"
"Anacortes Airport","OTS","US"
"Anadyr Heliport",NA,"RU"
"Anahim Lake Airport","YAA","CA"
"Anaktuvuk Pass Airport","AKP","US"
"Analalava Airport","HVA","MG"
"Anamoim Airport",NA,"BR"
"Ancenis",NA,"FR"
"Estancia Presidencial Anchorena Airport",NA,"UY"
"Ancón Airport",NA,"PE"
"Andado Airport",NA,"AU"
"Andakombe Airport","ADC","PG"
"Andamooka Airport","ADO","AU"
"Andapa","ZWA","MG"
"Andavadoaka Airport","DVD","MG"
"Anderson County Airport","AND","US"
"Anderson Municipal Airport","AID","US"
"Anderstorp",NA,"SE"
"Andi Jemma Airport","MXB","ID"
"Andirá Airport",NA,"BR"
"Andizhan Airport","AZN","UZ"
"Andorinha Airport",NA,"BR"
"Andorra la Vella Heliport","ALV","AD"
"Andover Airfield","ADV","GB"
"Andoya Andenes Airport","ANX","NO"
"Andradina - Paulino Ribeiro de Andrade Airport",NA,"BR"
"Andravida Airport","PYR","GR"
"Andre Maggi Airport","OTT","BR"
"Andres Miguel Salazar Marcano Airport","ICC","VE"
"Andreshkino Airport",NA,"RU"
"Andrew Othole Memorial Airport",NA,"US"
"Andrew's Field Airport",NA,"ZA"
"Andrewsfield",NA,"GB"
"Andriamena Airport","WAD","MG"
"Andros Town Airport","ASD","BS"
"Anduki Airport",NA,"BN"
"Andulo Airport","ANL","AO"
"Aneityum Airport","AUY","VU"
"Angama Mara Airport","ANA","KE"
"Angatja Airport",NA,"AU"
"Angel Fire Airport","AXX","US"
"Melilla",NA,"UY"
"Angélica IV Heliport",NA,"BR"
"Angelina County Airport","LFK","US"
"Anggi Airport","AGD","ID"
"Angical Airport",NA,"BR"
"Anglesey Airport","VLY","GB"
"Anglogold Ashantil Mineração Heliport",NA,"BR"
"Ango Airport",NA,"CD"
"Antonio Enes","ANO","MZ"
"Angoon Seaplane Base","AGN","US"
"Angora Airport",NA,"BO"
"Angoram Airport","AGG","PG"
"Angouleme - Cognac International Airport","ANG","FR"
"Angra dos Reis Airport",NA,"BR"
"Anguganak Airport","AKG","PG"
"Anguila 1 Heliport",NA,"CL"
"Angus Downs Stn","ANZ","AU"
"Anholt Airport",NA,"DK"
"Aniak Airport","ANI","US"
"Animas Air Park","AMK","US"
"Anisakan Airport",NA,"MM"
"Aniwa Airport","AWD","VU"
"Ankaizina Airport","WBE","MG"
"Ankang Airport","AKA","CN"
"Ankavandra Airport","JVA","MG"
"Ankazoabo Airport","WAK","MG"
"Ankeny Regional Airport",NA,"US"
"Anklam",NA,"DE"
"Ann Arbor Municipal Airport","ARB","US"
"Ann Airport","VBA","MM"
"Anna Creek Airport",NA,"AU"
"Anna Plains Airport",NA,"AU"
"Annai Airport","NAI","GY"
"Annanberg Airport","AOB","PG"
"Annecy-Meythet","NCY","FR"
"Annemasse","QNJ","FR"
"Annette Island Airport","ANN","US"
"Anningie Airport",NA,"AU"
"Annisse flyveplads",NA,"DK"
"Anniston Regional Airport","ANB","US"
"Annitowa Airport",NA,"AU"
"Annobon Airport","NBN","GQ"
"Anoka County Airport",NA,"US"
"Andacollo Airport",NA,"CL"
"Anqing Tianzhushan Airport","AQG","CN"
"Ansbach Army Heliport",NA,"DE"
"Ansbach-Petersdorf","QOB","DE"
"Anshun Huangguoshu Airport","AVA","CN"
"Anson County Airport",NA,"US"
"Ansongo Airport",NA,"ML"
"Anspach/Taunus Airport",NA,"DE"
"Answer Downs Airport",NA,"AU"
"Antabare Airport",NA,"VE"
"Antananarivo Arivonimamo Airport",NA,"MG"
"Anthony Municipal Airport","ANY","US"
"Anthony Lagoon Airport","AYL","AU"
"Antilla",NA,"CU"
"Antipayuta Airport",NA,"RU"
"Antlers Municipal Airport","ATE","US"
"Antoine de Saint Exupery Airport","OES","AR"
"Antonio Guerreiro Airport","GMS","BR"
"Pasto / Antonio Narin","PSO","CO"
"Antonio (Nery) Juarbe Pol Airport","ARE","PR"
"Antonio Roldan Betancourt Airport","APO","CO"
"Antrim County Airport","ACB","US"
"Antsalova Airport","WAQ","MG"
"Antsirabato Airport","ANM","MG"
"Antsirabe Airport","ATJ","MG"
"Antsoa Airport","WBO","MG"
"Antwerp/Commandant Fourcault Heliport",NA,"BE"
"SLAF Anuradhapura","ACJ","LK"
"Anvik Airport","ANV","US"
"Anyang Airport","AYN","CN"
"Anzhero-Sudzhensk Heliport",NA,"RU"
"Aosta Airport","AOT","IT"
"Aoulef Airport",NA,"DZ"
"Apala Airport",NA,"HN"
"Apalachicola Municipal Airport","AAF","US"
"Apalapsili Airport","AAS","ID"
"Apataki Airport","APK","PF"
"Apetina Airstrip",NA,"SR"
"APLIC Aviação Agrícola Ltda Airport",NA,"BR"
"Aplicação Aviação Agrícola II Airport",NA,"BR"
"Apollo Bay Airport",NA,"AU"
"Apolo Airport","APB","BO"
"Apoteri",NA,"GY"
"Appalachian Regional Airport",NA,"US"
"Apple Valley Airport","APV","US"
"Appleton Municipal Airport",NA,"US"
"April Point Seaplane Base","YQJ","CA"
"April River Airport","APR","PG"
"Apurito Airport",NA,"VE"
"Aqualider Heliport",NA,"BR"
"Aquarius Heliport",NA,"BR"
"Aquino Airport",NA,"IT"
"Ar Horqin Airport","AEQ","CN"
"Aracati Airport","ARX","BR"
"Aracati Dragao do Mar Airport","ARX","BR"
"Aracatuba Airport","ARU","BR"
"Aracay Abajo Airport",NA,"VE"
"Araçuai Airport",NA,"BR"
"Aragarcas","ARS","BR"
"Aragip Airport","ARP","PG"
"Araguacema Airport",NA,"BR"
"Araguaiana Airport","0","BR"
"Araguaina Airport","AUX","BR"
"Araguari AirportAdustina Airport",NA,"BR"
"Araguari Airport",NA,"BR"
"Araguatins Airport",NA,"BR"
"Araí Airport",NA,"BR"
"Arajuno",NA,"EC"
"Arak Airport","AJK","IR"
"Aralsk Airport",NA,"KZ"
"Aramac Airport","AXC","AU"
"Arampampa Airport",NA,"BO"
"La Aramuaca Airport",NA,"SV"
"Arandis Airport","ADI","NA"
"Aranjuez Airport",NA,"CR"
"Aransas County Airport","RKP","US"
"Aranuka Airport","AAK","KI"
"Arapahoe Municipal Airport","AHF","US"
"Arapicos Airport",NA,"EC"
"Arapiraca Airport","APQ","BR"
"Arapongas Airport","APX","BR"
"Arapunya Airport",NA,"AU"
"Arar Domestic Airport","RAE","SA"
"Araracuara Airport","ACR","CO"
"Araras Airport",NA,"BR"
"Ararat Airport","ARY","AU"
"Araripina Airport",NA,"BR"
"Araslaya",NA,"HN"
"Aratha-Ú Airport",NA,"BR"
"Arathusa Safari Lodge Airport","ASS","ZA"
"Aratika Airport","RKA","PF"
"Aratika-Perles Airport",NA,"PF"
"La Araucania International Airport","ZCO","CL"
"Arawa Airport","RAW","PG"
"Araya Airport",NA,"VE"
"Arba Minch Airport","AMH","ET"
"Arboga Airport",NA,"SE"
"Arboletas","ARO","CO"
"Arbrå Airport",NA,"SE"
"Arcadia Airport",NA,"AU"
"Archaga Airport",NA,"HN"
"Archery Park Helipad",NA,"AU"
"Arckaringa Airport",NA,"AU"
"Arco Butte County Airport",NA,"US"
"Arcoverde",NA,"BR"
"Arctic Bay Airport","YAB","CA"
"Arctic Village Airport","ARC","US"
"Ardabil Airport","ADU","IR"
"Ardlethan Airport",NA,"AU"
"Ardmore Municipal Airport","ADM","US"
"Ardmore Airport","AMZ","NZ"
"Ardmore Downtown Executive Airport","AHD","US"
"Ardmore Airport",NA,"AU"
"Ardrossan Airport",NA,"AU"
"Areia Branca Airstrip",NA,"BR"
"Arenal Airport","FON","CR"
"Arenápolis Airport",NA,"BR"
"Arendal Heliport, Hospital",NA,"NO"
"Arens Field",NA,"US"
"Areyonga Airport",NA,"AU"
"Arezzo Airfield","QZO","IT"
"Argadargada Airport",NA,"AU"
"Argakhtakh Airport",NA,"RU"
"Argentan Airfield",NA,"FR"
"La Argentina Airport",NA,"VE"
"Argenton-sur-Creuse",NA,"FR"
"Argyle Downs Airport","AGY","AU"
"Argyle Airport","GYL","AU"
"Argyle International Airport","SVD","VC"
"Ariamsvley Airport",NA,"NA"
"Aribinda Airport","XAR","BF"
"Puerto Arica Airport","ACM","CO"
"Arichuna Airport",NA,"VE"
"Aripuana Airport","AIR","BR"
"Ariquemes Airport","AQM","BR"
"Arizona 1 Airport",NA,"AU"
"Arka Airport",NA,"RU"
"Arkalyk North Airport","AYK","KZ"
"Arkansas International Airport","BYH","US"
"Arkaroola Airport",NA,"AU"
"Arkhara",NA,"RU"
"Arlamow Airport",NA,"PL"
"Arlington Municipal Airport",NA,"US"
"Arlington Municipal Airport",NA,"US"
"Arlit Airport","RLT","NE"
"Arlon-Sterpenich ULM",NA,"BE"
"Arly Airport","ARL","BF"
"Armando Schwarck Airport","LPJ","VE"
"Armavir Air Base",NA,"RU"
"Armidale - Lambert Park Helipad",NA,"AU"
"Armilla Air Base",NA,"ES"
"Armraynald Airport",NA,"AU"
"Armstrong Airport","YYW","CA"
"Arnapar Airport",NA,"BR"
"Arnbruck Airport",NA,"DE"
"Arngerðareyri Airport",NA,"IS"
"Arnsberg Menden Airfield",NA,"DE"
"Aroab B Airport",NA,"NA"
"Aropa Airport","KIE","PG"
"Arorae Airport","AIS","KI"
"Arou Airstrip",NA,"PG"
